#           x             T           CH4            O2            N2           CO2           H2O
       0.0172       294.312   6.13139e-10      0.229852      0.770118   1.64419e-05   1.34608e-05
       0.0172       294.312   6.13139e-10      0.229852      0.770118   1.64419e-05   1.34608e-05
       0.0172       294.312   6.13139e-10      0.229852      0.770118   1.64419e-05   1.34608e-05
       0.0173       294.042   4.57443e-10      0.229882      0.770095   1.23253e-05   1.00906e-05
       0.0174       293.772   3.01747e-10      0.229913      0.770073   8.20868e-06   6.72037e-06
     0.017475       293.651    2.4346e-10      0.229926      0.770062   6.65002e-06   5.44431e-06
      0.01755       293.531   1.85172e-10      0.229939      0.770051   5.09136e-06   4.16825e-06
     0.017575       293.491   1.65743e-10      0.229944      0.770048   4.57181e-06    3.7429e-06
       0.0176       293.451   1.46314e-10      0.229949      0.770044   4.05225e-06   3.31754e-06
    0.0176333        293.42   1.33598e-10      0.229952      0.770041   3.70716e-06   3.03502e-06
    0.0176667       293.388   1.20883e-10      0.229956      0.770038   3.36206e-06   2.75249e-06
    0.0177333       293.326    9.5452e-11      0.229963      0.770032   2.67187e-06   2.18744e-06
       0.0178       293.263    7.0021e-11       0.22997      0.770027   1.98168e-06   1.62238e-06
      0.01784       293.241   6.26378e-11      0.229973      0.770024   1.77755e-06   1.45526e-06
      0.01788       293.218   5.52546e-11      0.229975      0.770022   1.57341e-06   1.28814e-06
      0.01794       293.185   4.41799e-11      0.229979      0.770019   1.26721e-06   1.03746e-06
        0.018       293.152   3.31051e-11      0.229982      0.770016   9.61015e-07   7.86774e-07
       0.0181        293.12   2.42902e-11      0.229986      0.770013   7.11748e-07   5.82701e-07
       0.0182       293.087   1.54753e-11       0.22999       0.77001    4.6248e-07   3.78628e-07
       0.0182       293.087   1.54753e-11       0.22999       0.77001    4.6248e-07   3.78628e-07
       0.0182       293.087   1.54753e-11       0.22999       0.77001    4.6248e-07   3.78628e-07
       0.0183       293.068    1.1316e-11      0.229992      0.770007     3.417e-07   2.79747e-07
       0.0184       293.049   7.15671e-12      0.229994      0.770006    2.2092e-07   1.80865e-07
      0.01847       293.041   5.79799e-12      0.229995      0.770005   1.80243e-07   1.47564e-07
      0.01854       293.034   4.43928e-12      0.229996      0.770004   1.39567e-07   1.14263e-07
      0.01857        293.03   3.85698e-12      0.229997      0.770003   1.22134e-07   9.99906e-08
       0.0186       293.027   3.27467e-12      0.229997      0.770003   1.04702e-07   8.57186e-08
       0.0187       293.021   2.37802e-12      0.229998      0.770002   7.69247e-08   6.29777e-08
       0.0188       293.014   1.48138e-12      0.229998      0.770002   4.91476e-08   4.02367e-08
       0.0189       293.011   1.07105e-12      0.229999      0.770001   3.59517e-08   2.94333e-08
        0.019       293.007   6.60732e-13      0.229999      0.770001   2.27558e-08     1.863e-08
        0.019       293.007   6.60731e-13      0.229999      0.770001   2.27558e-08     1.863e-08
        0.019       293.007   6.60732e-13      0.229999      0.770001   2.27558e-08     1.863e-08
       0.0191       293.006   4.74621e-13      0.229999      0.770001   1.65276e-08    1.3531e-08
       0.0192       293.004   2.88512e-13          0.23      0.770001   1.02994e-08   8.43205e-09
     0.019265       293.003   2.34137e-13          0.23          0.77   8.40405e-09   6.88034e-09
      0.01933       293.003   1.79762e-13          0.23          0.77    6.5087e-09   5.32863e-09
     0.019365       293.002   1.50484e-13          0.23          0.77   5.48813e-09   4.49309e-09
       0.0194       293.002   1.21205e-13          0.23          0.77   4.46756e-09   3.65755e-09
